1721224341.0685084,Sleep
1721256979.0983417,Awake
1721312084.2316515,Sleep
1721341807.1837053,Awake
1721396049.3449721,Sleep
1721429352.3123808,Awake
1721483993.5881777,Sleep
1721515905.993825,Awake
1721570121.0611696,Sleep
1721599009.495672,Awake
1721654425.7979002,Sleep
1721687013.8733475,Awake
1721742631.9402647,Sleep
1721774392.5242376,Awake
1721827711.2567167,Sleep
1721860096.095288,Awake
1721914217.2331662,Sleep
1722035350.5464003,Awake
1722089439.9761472,Sleep
1722121389.5260208,Awake
1722172029.0797122,Sleep
1722207703.6097105,Awake
1722347023.2837608,Sleep
1722378106.9418764,Awake
1722431156.5723195,Sleep
1722465904.392349,Awake
1722608476.586665,Sleep
1722643473.559636,Awake
1722781226.3925354,Sleep
1722816950.7259417,Awake
1722952788.6607854,Sleep
1722983042.0309997,Awake
1723127431.631653,Sleep
1723156585.0740726,Awake
1723212674.2146804,Sleep
1723248394.4424148,Awake
1723299662.6460927,Sleep
1723330896.263558,Awake
1723469892.8098817,Sleep
1723504387.657484,Awake
1723557054.6482594,Sleep
1723589581.5718396,Awake
1723641937.4865978,Sleep
1723677853.2695732,Awake
1723729986.4671235,Sleep
1723767520.3620799,Awake
