1717624046.6364672,Sleep
1717645060.0354435,Awake
1717645081.609985,Sleep
1719645730.1162934,Awake
1719669623.4783974,Sleep
1719707705.363374,Awake
1719707711.4291174,Sleep
1719732154.574329,Awake
1719732159.9891613,Sleep
1719890412.0160704,Awake
1719890419.9017522,Sleep
1719898510.9291573,Awake
1719898555.0943124,Sleep
1719973238.0561874,Awake
1719973270.0555003,Sleep
1719995974.0217261,Awake
1719995984.7235172,Sleep
1720103125.619711,Awake
1720103154.120222,Sleep
1720162734.196619,Awake
1720162739.8829777,Sleep
1720381251.2966108,Awake
1720381259.188184,Sleep
1720432284.7729652,Awake
1720432291.486065,Sleep
1720551295.1412969,Awake
1720551303.770043,Sleep
1720700554.4565449,Awake
1720700560.4379456,Sleep
1720835231.8354664,Awake
1720835264.3166285,Sleep
1720915573.7310283,Awake
1720915589.882006,Sleep
1720915726.1802053,Awake
1720915755.4688468,Sleep
